Timestamp,Value,Year,Month,Day,Hour,Date
2024-11-10 05:00:00+12:00,5.5,2024,11,10,5,2024-11-10
2024-11-10 06:00:00+12:00,6.7,2024,11,10,6,2024-11-10
2024-11-10 07:00:00+12:00,6.6,2024,11,10,7,2024-11-10
2024-11-10 08:00:00+12:00,3.0,2024,11,10,8,2024-11-10
2024-11-10 09:00:00+12:00,1.3,2024,11,10,9,2024-11-10
2024-11-10 10:00:00+12:00,1.0,2024,11,10,10,2024-11-10
2024-11-10 11:00:00+12:00,0.8,2024,11,10,11,2024-11-10
2024-11-10 12:00:00+12:00,0.8,2024,11,10,12,2024-11-10
2024-11-10 13:00:00+12:00,1.1,2024,11,10,13,2024-11-10
2024-11-10 14:00:00+12:00,2.3,2024,11,10,14,2024-11-10
2024-11-10 15:00:00+12:00,4.3,2024,11,10,15,2024-11-10
2024-11-10 16:00:00+12:00,4.8,2024,11,10,16,2024-11-10
2024-11-10 17:00:00+12:00,4.6,2024,11,10,17,2024-11-10
2024-11-10 18:00:00+12:00,4.7,2024,11,10,18,2024-11-10
2024-11-10 19:00:00+12:00,1.2,2024,11,10,19,2024-11-10
2024-11-10 20:00:00+12:00,1.7,2024,11,10,20,2024-11-10
2024-11-10 21:00:00+12:00,2.8,2024,11,10,21,2024-11-10
2024-11-10 22:00:00+12:00,4.6,2024,11,10,22,2024-11-10
2024-11-10 23:00:00+12:00,2.5,2024,11,10,23,2024-11-10
2024-11-11 00:00:00+12:00,3.0,2024,11,11,0,2024-11-11
2024-11-11 01:00:00+12:00,0.8,2024,11,11,1,2024-11-11
2024-11-11 02:00:00+12:00,1.8,2024,11,11,2,2024-11-11
2024-11-11 03:00:00+12:00,1.3,2024,11,11,3,2024-11-11
2024-11-11 04:00:00+12:00,1.2,2024,11,11,4,2024-11-11
2024-11-11 05:00:00+12:00,11.4,2024,11,11,5,2024-11-11
2024-11-11 07:00:00+12:00,13.0,2024,11,11,7,2024-11-11
2024-11-11 08:00:00+12:00,6.4,2024,11,11,8,2024-11-11
2024-11-11 09:00:00+12:00,9.6,2024,11,11,9,2024-11-11
2024-11-11 10:00:00+12:00,5.5,2024,11,11,10,2024-11-11
2024-11-11 11:00:00+12:00,9.9,2024,11,11,11,2024-11-11
2024-11-11 12:00:00+12:00,6.0,2024,11,11,12,2024-11-11
2024-11-11 13:00:00+12:00,8.6,2024,11,11,13,2024-11-11
2024-11-11 14:00:00+12:00,5.4,2024,11,11,14,2024-11-11
2024-11-11 15:00:00+12:00,5.3,2024,11,11,15,2024-11-11
2024-11-11 16:00:00+12:00,2.2,2024,11,11,16,2024-11-11
2024-11-11 17:00:00+12:00,1.7,2024,11,11,17,2024-11-11
2024-11-11 18:00:00+12:00,1.3,2024,11,11,18,2024-11-11
2024-11-11 19:00:00+12:00,1.6,2024,11,11,19,2024-11-11
2024-11-11 20:00:00+12:00,3.0,2024,11,11,20,2024-11-11
2024-11-11 21:00:00+12:00,2.8,2024,11,11,21,2024-11-11
2024-11-11 22:00:00+12:00,6.3,2024,11,11,22,2024-11-11
2024-11-11 23:00:00+12:00,2.8,2024,11,11,23,2024-11-11
2024-11-12 00:00:00+12:00,3.7,2024,11,12,0,2024-11-12
2024-11-12 01:00:00+12:00,5.851673640167364,2024,11,12,1,2024-11-12
2024-11-12 02:00:00+12:00,3.9,2024,11,12,2,2024-11-12
2024-11-12 03:00:00+12:00,7.4,2024,11,12,3,2024-11-12
2024-11-12 04:00:00+12:00,9.0,2024,11,12,4,2024-11-12
2024-11-12 05:00:00+12:00,12.7,2024,11,12,5,2024-11-12
2024-11-12 08:00:00+12:00,13.2,2024,11,12,8,2024-11-12
2024-11-12 09:00:00+12:00,11.5,2024,11,12,9,2024-11-12
2024-11-12 10:00:00+12:00,11.0,2024,11,12,10,2024-11-12
2024-11-12 11:00:00+12:00,9.8,2024,11,12,11,2024-11-12
2024-11-12 12:00:00+12:00,9.4,2024,11,12,12,2024-11-12
2024-11-12 13:00:00+12:00,8.6,2024,11,12,13,2024-11-12
2024-11-12 14:00:00+12:00,7.7,2024,11,12,14,2024-11-12
2024-11-12 15:00:00+12:00,9.4,2024,11,12,15,2024-11-12
2024-11-12 16:00:00+12:00,7.4,2024,11,12,16,2024-11-12
2024-11-12 17:00:00+12:00,7.8,2024,11,12,17,2024-11-12
2024-11-12 18:00:00+12:00,6.4,2024,11,12,18,2024-11-12
2024-11-12 19:00:00+12:00,7.9,2024,11,12,19,2024-11-12
2024-11-12 20:00:00+12:00,6.8,2024,11,12,20,2024-11-12
2024-11-12 21:00:00+12:00,6.6,2024,11,12,21,2024-11-12
2024-11-12 22:00:00+12:00,2.9,2024,11,12,22,2024-11-12
2024-11-12 23:00:00+12:00,3.0,2024,11,12,23,2024-11-12
2024-11-13 00:00:00+12:00,2.4,2024,11,13,0,2024-11-13
2024-11-13 01:00:00+12:00,1.3,2024,11,13,1,2024-11-13
2024-11-13 02:00:00+12:00,6.9,2024,11,13,2,2024-11-13
2024-11-13 03:00:00+12:00,7.9,2024,11,13,3,2024-11-13
2024-11-13 04:00:00+12:00,11.2,2024,11,13,4,2024-11-13
2024-11-13 05:00:00+12:00,11.1,2024,11,13,5,2024-11-13
2024-11-13 07:00:00+12:00,18.0,2024,11,13,7,2024-11-13
2024-11-13 09:00:00+12:00,14.8,2024,11,13,9,2024-11-13
2024-11-13 10:00:00+12:00,8.7,2024,11,13,10,2024-11-13
2024-11-13 11:00:00+12:00,6.8,2024,11,13,11,2024-11-13
2024-11-13 12:00:00+12:00,7.9,2024,11,13,12,2024-11-13
2024-11-13 13:00:00+12:00,7.9,2024,11,13,13,2024-11-13
2024-11-13 14:00:00+12:00,6.7,2024,11,13,14,2024-11-13
2024-11-13 15:00:00+12:00,8.6,2024,11,13,15,2024-11-13
2024-11-13 16:00:00+12:00,9.6,2024,11,13,16,2024-11-13
2024-11-13 17:00:00+12:00,9.0,2024,11,13,17,2024-11-13
2024-11-13 18:00:00+12:00,17.4,2024,11,13,18,2024-11-13
2024-11-13 19:00:00+12:00,8.6,2024,11,13,19,2024-11-13
2024-11-13 20:00:00+12:00,5.1,2024,11,13,20,2024-11-13
2024-11-13 21:00:00+12:00,3.9,2024,11,13,21,2024-11-13
2024-11-13 22:00:00+12:00,5.2,2024,11,13,22,2024-11-13
2024-11-13 23:00:00+12:00,4.7,2024,11,13,23,2024-11-13
2024-11-14 00:00:00+12:00,3.2,2024,11,14,0,2024-11-14
2024-11-14 01:00:00+12:00,5.851673640167364,2024,11,14,1,2024-11-14
2024-11-14 02:00:00+12:00,3.2,2024,11,14,2,2024-11-14
2024-11-14 03:00:00+12:00,2.2,2024,11,14,3,2024-11-14
2024-11-14 04:00:00+12:00,2.2,2024,11,14,4,2024-11-14
2024-11-14 05:00:00+12:00,4.0,2024,11,14,5,2024-11-14
2024-11-14 06:00:00+12:00,7.7,2024,11,14,6,2024-11-14
2024-11-14 07:00:00+12:00,8.9,2024,11,14,7,2024-11-14
2024-11-14 08:00:00+12:00,10.4,2024,11,14,8,2024-11-14
2024-11-14 09:00:00+12:00,8.7,2024,11,14,9,2024-11-14
2024-11-14 10:00:00+12:00,10.9,2024,11,14,10,2024-11-14
2024-11-14 11:00:00+12:00,9.6,2024,11,14,11,2024-11-14
2024-11-14 12:00:00+12:00,10.3,2024,11,14,12,2024-11-14
2024-11-14 13:00:00+12:00,9.4,2024,11,14,13,2024-11-14
